id,question,choices,answer,A,B,C,D,answer_pred,correct
88,Sự kiện Vịnh Bắc Bộ năm 1964 đã tạo cớ cho Mỹ làm gì?,"{'A': 'Ném bom phá hoại miền Bắc', 'B': 'Đưa quân vào miền Nam Việt Nam', 'C': 'Phong tỏa cảng Hải Phòng', 'D': 'Rút quân khỏi miền Nam Việt Nam'}",A,Ném bom phá hoại miền Bắc,Đưa quân vào miền Nam Việt Nam,Phong tỏa cảng Hải Phòng,Rút quân khỏi miền Nam Việt Nam,A,1
89,Ai là người đã cắm lá cờ chiến thắng trên nóc hầm tướng Đờ Cát trong chiến dịch Điện Biên Phủ?,"{'A': 'Phan Đình Giót', 'B': 'Tô Vĩnh Diện', 'C': 'Bế Văn Đàn', 'D': 'Không có cá nhân nào cụ thể, đây là chiến công của tập thể'}",D,Phan Đình Giót,Tô Vĩnh Diện,Bế Văn Đàn,"Không có cá nhân nào cụ thể, đây là chiến công của tập thể",D,1
90,"Chiến lược ""Việt Nam hóa chiến tranh"" của Mỹ được thực hiện dưới thời tổng thống nào?","{'A': 'Richard Nixon', 'B': 'Lyndon B. Johnson', 'C': 'John F. Kennedy', 'D': 'Dwight D. Eisenhower'}",A,Richard Nixon,Lyndon B. Johnson,John F. Kennedy,Dwight D. Eisenhower,A,1
91,"Phong trào ""vô sản hóa"" do tổ chức nào phát động?","{'A': 'Hội Việt Nam Cách mạng Thanh niên', 'B': 'Tân Việt Cách mạng Đảng', 'C': 'Việt Nam Quốc dân Đảng', 'D': 'An Nam Cộng sản Đảng'}",A,Hội Việt Nam Cách mạng Thanh niên,Tân Việt Cách mạng Đảng,Việt Nam Quốc dân Đảng,An Nam Cộng sản Đảng,D,0
92,Nhà nước Văn Lang có kinh đô đặt ở đâu?,"{'A': 'Phong Châu (Phú Thọ)', 'B': 'Cổ Loa (Hà Nội)', 'C': 'Hoa Lư (Ninh Bình)', 'D': 'Mê Linh (Vĩnh Phúc)'}",A,Phong Châu (Phú Thọ),Cổ Loa (Hà Nội),Hoa Lư (Ninh Bình),Mê Linh (Vĩnh Phúc),A,1
93,Sông Bạch Đằng đã diễn ra bao nhiêu trận thủy chiến lớn trong lịch sử chống ngoại xâm của dân tộc ta?,"{'A': '3 lần', 'B': '2 lần', 'C': '4 lần', 'D': '1 lần'}",A,3 lần,2 lần,4 lần,1 lần,C,0
94,Ai là người đã lãnh đạo cuộc khởi nghĩa của nông dân ở Đàng Ngoài vào thế kỷ 18?,"{'A': 'Nguyễn Hữu Cầu', 'B': 'Lê Duy Mật', 'C': 'Hoàng Công Chất', 'D': 'Cả 3 người trên'}",D,Nguyễn Hữu Cầu,Lê Duy Mật,Hoàng Công Chất,Cả 3 người trên,A,0
95,Vị vua nào của nhà Trần có đến hai niên hiệu?,"{'A': 'Trần Minh Tông', 'B': 'Trần Anh Tông', 'C': 'Trần Dụ Tông', 'D': 'Trần Nghệ Tông'}",A,Trần Minh Tông,Trần Anh Tông,Trần Dụ Tông,Trần Nghệ Tông,D,0
96,"Bộ ""Quốc triều hình luật"" (luật Hồng Đức) được ban hành dưới triều vua nào?","{'A': 'Lê Thánh Tông', 'B': 'Lê Thái Tổ', 'C': 'Trần Thái Tông', 'D': 'Gia Long'}",A,Lê Thánh Tông,Lê Thái Tổ,Trần Thái Tông,Gia Long,A,1
97,"Phong trào ""Thanh niên xung phong"" ra đời trong cuộc kháng chiến nào?","{'A': 'Chống Pháp', 'B': 'Chống Mỹ', 'C': 'Cả hai cuộc kháng chiến', 'D': 'Thời kỳ đổi mới'}",A,Chống Pháp,Chống Mỹ,Cả hai cuộc kháng chiến,Thời kỳ đổi mới,C,0
98,Ai là Tổng bí thư đầu tiên của Đảng Cộng sản Việt Nam?,"{'A': 'Trần Phú', 'B': 'Lê Hồng Phong', 'C': 'Hà Huy Tập', 'D': 'Nguyễn Văn Cừ'}",A,Trần Phú,Lê Hồng Phong,Hà Huy Tập,Nguyễn Văn Cừ,A,1
99,Vị vua nào của triều Nguyễn có thời gian trị vì lâu nhất?,"{'A': 'Tự Đức', 'B': 'Gia Long', 'C': 'Minh Mạng', 'D': 'Khải Định'}",A,Tự Đức,Gia Long,Minh Mạng,Khải Định,A,1
100,Nước ta chính thức mang tên Cộng hòa Xã hội chủ nghĩa Việt Nam từ năm nào?,"{'A': '1976', 'B': '1975', 'C': '1986', 'D': '1991'}",A,1976,1975,1986,1991,B,0
1,World Cup được tổ chức mấy năm một lần?,"{'a': '2 năm', 'b': '3 năm', 'c': '4 năm', 'd': '5 năm'}",c,,,,,A,0
2,Đội tuyển quốc gia nào vô địch World Cup nhiều nhất?,"{'a': 'Argentina', 'b': 'Đức', 'c': 'Brazil', 'd': 'Ý'}",c,,,,,A,0
3,Quả bóng vàng FIFA (Ballon d'Or) gần đây nhất thuộc về cầu thủ nào?,"{'a': 'Lionel Messi', 'b': 'Cristiano Ronaldo', 'c': 'Karim Benzema', 'd': 'Erling Haaland'}",a,,,,,A,0
4,Sân vận động nào lớn nhất thế giới?,"{'a': 'Sân vận động Wembley (Anh)', 'b': 'Sân vận động Camp Nou (Tây Ban Nha)', 'c': 'Sân vận động Rungrado 1st of May (Triều Tiên)', 'd': 'Sân vận động Maracanã (Brazil)'}",c,,,,,A,0
5,Giải bóng đá vô địch quốc gia Anh có tên là gì?,"{'a': 'La Liga', 'b': 'Serie A', 'c': 'Bundesliga', 'd': 'Premier League'}",d,,,,,A,0
6,"Cầu thủ nào được mệnh danh là ""Vua bóng đá""?","{'a': 'Diego Maradona', 'b': 'Pelé', 'c': 'Johan Cruyff', 'd': 'Franz Beckenbauer'}",b,,,,,A,0
7,Đội tuyển Việt Nam vô địch AFF Cup lần đầu tiên vào năm nào?,"{'a': '2008', 'b': '2010', 'c': '2016', 'd': '2018'}",a,,,,,A,0
8,Ai là huấn luyện viên trưởng của đội tuyển bóng đá quốc gia Việt Nam hiện tại?,"{'a': 'Park Hang-seo', 'b': 'Philippe Troussier', 'c': 'Kim Sang-sik', 'd': 'Kiatisuk Senamuang'}",c,,,,,A,0
9,Câu lạc bộ nào vô địch V.League nhiều lần nhất?,"{'a': 'Hà Nội FC', 'b': 'Becamex Bình Dương', 'c': 'SHB Đà Nẵng', 'd': 'Hoàng Anh Gia Lai'}",a,,,,,A,0
10,Cầu thủ nào ghi nhiều bàn thắng nhất cho đội tuyển Việt Nam?,"{'a': 'Lê Công Vinh', 'b': 'Nguyễn Tiến Linh', 'c': 'Nguyễn Quang Hải', 'd': 'Phan Thanh Bình'}",a,,,,,A,0
11,"Môn thể thao nào được mệnh danh là ""môn thể thao vua""?","{'a': 'Bóng rổ', 'b': 'Bóng đá', 'c': 'Quần vợt', 'd': 'Điền kinh'}",b,,,,,A,0
12,Một trận đấu bóng đá chính thức kéo dài bao nhiêu phút?,"{'a': '60 phút', 'b': '80 phút', 'c': '90 phút', 'd': '120 phút'}",c,,,,,A,0
13,Mỗi đội bóng đá khi thi đấu trên sân có bao nhiêu cầu thủ?,"{'a': '9 cầu thủ', 'b': '10 cầu thủ', 'c': '11 cầu thủ', 'd': '12 cầu thủ'}",c,,,,,A,0
14,Thẻ vàng trong bóng đá dùng để làm gì?,"{'a': 'Cảnh cáo cầu thủ', 'b': 'Truất quyền thi đấu', 'c': 'Công nhận bàn thắng', 'd': 'Bắt đầu trận đấu'}",a,,,,,A,0
15,Thế vận hội Olympic được tổ chức mấy năm một lần?,"{'a': '2 năm', 'b': '3 năm', 'c': '4 năm', 'd': '5 năm'}",c,,,,,A,0
16,Biểu tượng của Olympic là gì?,"{'a': 'Ngọn đuốc', 'b': 'Vòng nguyệt quế', 'c': '5 vòng tròn lồng vào nhau', 'd': 'Cành ô liu'}",c,,,,,A,0
17,SEA Games là viết tắt của cụm từ nào?,"{'a': 'South East Asian Games', 'b': 'South East Asia Games', 'c': 'Southern East Asian Games', 'd': 'Southeast Asian Games'}",d,,,,,A,0
18,Linh vật của SEA Games 31 được tổ chức tại Việt Nam là con gì?,"{'a': 'Trâu vàng', 'b': 'Sao la', 'c': 'Rồng', 'd': 'Hổ'}",b,,,,,A,0
19,Một trận đấu bóng rổ có bao nhiêu hiệp chính?,"{'a': '2 hiệp', 'b': '3 hiệp', 'c': '4 hiệp', 'd': '5 hiệp'}",c,,,,,A,0
20,Giải bóng rổ nhà nghề Mỹ có tên là gì?,"{'a': 'NFL', 'b': 'MLB', 'c': 'NHL', 'd': 'NBA'}",d,,,,,A,0
21,Cầu thủ bóng rổ nào được coi là vĩ đại nhất mọi thời đại?,"{'a': 'LeBron James', 'b': 'Michael Jordan', 'c': 'Kobe Bryant', 'd': 'Stephen Curry'}",b,,,,,A,0
22,"Trong quần vợt, tỷ số 40-40 được gọi là gì?","{'a': 'Game', 'b': 'Set', 'c': 'Match', 'd': 'Deuce'}",d,,,,,A,0
23,Tay vợt nào có nhiều danh hiệu Grand Slam đơn nam nhất?,"{'a': 'Roger Federer', 'b': 'Rafael Nadal', 'c': 'Novak Djokovic', 'd': 'Pete Sampras'}",c,,,,,A,0
24,Giải quần vợt Wimbledon được tổ chức trên mặt sân nào?,"{'a': 'Sân đất nện', 'b': 'Sân cứng', 'c': 'Sân cỏ', 'd': 'Sân thảm'}",c,,,,,A,0
25,Môn võ nào là quốc võ của Hàn Quốc?,"{'a': 'Karate', 'b': 'Judo', 'c': 'Taekwondo', 'd': 'Vovinam'}",c,,,,,A,0
26,Vovinam là môn võ của nước nào?,"{'a': 'Thái Lan', 'b': 'Việt Nam', 'c': 'Nhật Bản', 'd': 'Trung Quốc'}",b,,,,,A,0
27,"Trong môn điền kinh, cự ly chạy marathon tiêu chuẩn là bao nhiêu?","{'a': '21,0975 km', 'b': '42,195 km', 'c': '10 km', 'd': '100m'}",b,,,,,A,0
28,Vận động viên nào đang giữ kỷ lục thế giới ở cự ly 100m và 200m nam?,"{'a': 'Tyson Gay', 'b': 'Yohan Blake', 'c': 'Usain Bolt', 'd': 'Justin Gatlin'}",c,,,,,A,0
29,"Trong môn bơi lội, kiểu bơi nào được coi là khó nhất?","{'a': 'Bơi sải', 'b': 'Bơi ếch', 'c': 'Bơi ngửa', 'd': 'Bơi bướm'}",d,,,,,A,0
30,Kình ngư Michael Phelps đã giành được bao nhiêu huy chương vàng Olympic?,"{'a': '20', 'b': '23', 'c': '28', 'd': '18'}",b,,,,,A,0
31,Môn thể thao nào sử dụng vợt và quả cầu lông?,"{'a': 'Quần vợt', 'b': 'Bóng bàn', 'c': 'Cầu lông', 'd': 'Squash'}",c,,,,,A,0
32,Tay vợt cầu lông nào của Việt Nam từng giữ vị trí số 1 thế giới?,"{'a': 'Nguyễn Tiến Minh', 'b': 'Nguyễn Thùy Linh', 'c': 'Vũ Thị Trang', 'd': 'Lê Đức Phát'}",a,,,,,A,0
33,"Một ván cờ vua, mỗi bên có bao nhiêu quân cờ?","{'a': '12', 'b': '14', 'c': '16', 'd': '18'}",c,,,,,A,0
34,Ai là vua cờ Việt Nam đầu tiên?,"{'a': 'Lê Quang Liêm', 'b': 'Nguyễn Ngọc Trường Sơn', 'c': 'Từ Hoàng Thông', 'd': 'Đào Thiên Hải'}",a,,,,,A,0
35,Môn thể thao nào được chơi trên băng với gậy và một quả bóng cao su cứng?,"{'a': 'Khúc côn cầu trên cỏ', 'b': 'Khúc côn cầu trên băng', 'c': 'Bandy', 'd': 'Floorball'}",b,,,,,A,0
36,Giải đua xe đạp danh giá nhất thế giới là gì?,"{'a': ""Giro d'Italia"", 'b': 'Vuelta a España', 'c': 'Tour de France', 'd': 'Paris-Roubaix'}",c,,,,,A,0
37,"Trong bóng chuyền, một đội có bao nhiêu cầu thủ trên sân?","{'a': '5', 'b': '6', 'c': '7', 'd': '8'}",b,,,,,B,0
38,Vận động viên nào được coi là huyền thoại của làng quyền Anh hạng nặng?,"{'a': 'Mike Tyson', 'b': 'Muhammad Ali', 'c': 'Rocky Marciano', 'd': 'Joe Frazier'}",b,,,,,A,0
39,Môn thể thao nào yêu cầu người chơi đánh một quả bóng nhỏ vào một loạt các lỗ trên một sân rộng?,"{'a': 'Cricket', 'b': 'Golf', 'c': 'Polo', 'd': 'Croquet'}",b,,,,,A,0
40,Đội tuyển bóng đá nữ quốc gia nào vô địch World Cup nhiều nhất?,"{'a': 'Đức', 'b': 'Na Uy', 'c': 'Nhật Bản', 'd': 'Mỹ'}",d,,,,,A,0
41,Giải bóng chày chuyên nghiệp của Mỹ có tên là gì?,"{'a': 'NBA', 'b': 'NFL', 'c': 'MLB', 'd': 'NHL'}",c,,,,,A,0
42,"Môn thể thao nào là sự kết hợp của bơi, đạp xe và chạy bộ?","{'a': 'Năm môn phối hợp hiện đại', 'b': 'Ba môn phối hợp (Triathlon)', 'c': 'Hai môn phối hợp (Duathlon)', 'd': 'Aquathlon'}",b,,,,,A,0
43,"Trong môn bowling, nếu một người chơi hạ gục tất cả các pin trong lần ném đầu tiên, đó được gọi là gì?","{'a': 'Spare', 'b': 'Strike', 'c': 'Gutter', 'd': 'Split'}",b,,,,,A,0
44,Giải đua ô tô Công thức 1 (F1) nổi tiếng nhất thế giới được tổ chức ở đâu?,"{'a': 'Indianapolis 500', 'b': 'Le Mans 24 Hours', 'c': 'Monaco Grand Prix', 'd': 'Daytona 500'}",c,,,,,A,0
45,Môn thể thao nào sử dụng một tấm ván để lướt trên sóng?,"{'a': 'Lướt ván diều', 'b': 'Lướt ván buồm', 'c': 'Lướt sóng', 'd': 'Wakeboarding'}",c,,,,,A,0
46,"Trong bóng bàn, một trận đấu thường có bao nhiêu set?","{'a': '3 hoặc 5', 'b': '5 hoặc 7', 'c': 'Chỉ 3', 'd': 'Chỉ 5'}",b,,,,,A,0
47,Môn thể dục dụng cụ nào không dành cho nam giới ở cấp độ Olympic?,"{'a': 'Xà đơn', 'b': 'Ngựa tay quay', 'c': 'Cầu thăng bằng', 'd': 'Vòng treo'}",c,,,,,A,0
48,Vận động viên thể dục dụng cụ nào của Romania đã giành được điểm 10 tuyệt đối đầu tiên trong lịch sử Olympic?,"{'a': 'Larisa Iordache', 'b': 'Nadia Comăneci', 'c': 'Simona Amânar', 'd': 'Cătălina Ponor'}",b,,,,,A,0
49,Môn võ Judo có nguồn gốc từ quốc gia nào?,"{'a': 'Trung Quốc', 'b': 'Hàn Quốc', 'c': 'Nhật Bản', 'd': 'Brazil'}",c,,,,,A,0
50,"Trong môn đấu vật, mục tiêu chính là gì?","{'a': 'Đấm ngã đối thủ', 'b': 'Ghim vai đối thủ xuống sàn', 'c': 'Khiến đối thủ bỏ cuộc', 'd': 'Ghi nhiều điểm hơn'}",b,,,,,A,0
51,"Môn thể thao nào có các vị trí như ""Quarterback"", ""Running back"" và ""Wide receiver""?","{'a': 'Bóng bầu dục Mỹ', 'b': 'Bóng bầu dục liên hiệp (Rugby union)', 'c': 'Bóng bầu dục liên minh (Rugby league)', 'd': 'Bóng đá kiểu Úc'}",a,,,,,A,0
52,Super Bowl là trận chung kết của giải đấu nào?,"{'a': 'Major League Baseball (MLB)', 'b': 'National Basketball Association (NBA)', 'c': 'National Hockey League (NHL)', 'd': 'National Football League (NFL)'}",d,,,,,A,0
53,Môn thể thao nào có nguồn gốc từ Scotland và được chơi trên băng với những viên đá granit?,"{'a': 'Bi đá trên băng (Curling)', 'b': 'Bandy', 'c': 'Trượt băng tốc độ', 'd': 'Khúc côn cầu trên băng'}",a,,,,,A,0
54,"Trong môn đua ngựa, sự kiện ""Triple Crown"" của Mỹ bao gồm những cuộc đua nào?","{'a': 'Kentucky Derby, Preakness Stakes, Belmont Stakes', 'b': 'Grand National, Epsom Derby, Royal Ascot', 'c': 'Melbourne Cup, Cox Plate, Caulfield Cup', 'd': ""Prix de l'Arc de Triomphe, Dubai World Cup, Japan Cup""}",a,,,,,A,0
55,Môn thể thao nào liên quan đến việc bắn tên bằng cung?,"{'a': 'Bắn súng', 'b': 'Bắn cung', 'c': 'Ném lao', 'd': 'Đấu kiếm'}",b,,,,,A,0
56,Đâu là một trong ba loại vũ khí được sử dụng trong môn đấu kiếm Olympic?,"{'a': 'Katana', 'b': 'Kiếm lá (Foil)', 'c': 'Broadsword', 'd': 'Rapier'}",b,,,,,A,0
57,"Môn thể thao nào có các cú đánh được gọi là ""jab"", ""hook"" và ""uppercut""?","{'a': 'Quyền Anh', 'b': 'Đấu vật', 'c': 'Karate', 'd': 'Muay Thái'}",a,,,,,A,0
58,Giải vô địch bóng bầu dục thế giới có tên là gì?,"{'a': 'Six Nations Championship', 'b': 'The Rugby Championship', 'c': 'Rugby World Cup', 'd': 'Super Rugby'}",c,,,,,A,0
59,Môn Cricket phổ biến nhất ở khu vực nào trên thế giới?,"{'a': 'Bắc Mỹ', 'b': 'Nam Á và Khối thịnh vượng chung Anh', 'c': 'Đông Á', 'd': 'Châu Âu lục địa'}",b,,,,,A,0
60,"Trong bóng chuyền bãi biển, mỗi đội có bao nhiêu cầu thủ?","{'a': '2', 'b': '3', 'c': '4', 'd': '6'}",a,,,,,A,0
61,Môn thể thao nào có liên quan đến việc leo lên các mặt đá hoặc cấu trúc nhân tạo?,"{'a': 'Leo núi băng', 'b': 'Leo núi trong nhà (Sport climbing)', 'c': 'Đi bộ đường dài (Hiking)', 'd': 'Chèo thuyền vượt thác'}",b,,,,,A,0
62,Môn thể thao nào sử dụng ván trượt để thực hiện các kỹ thuật trên các địa hình khác nhau?,"{'a': 'Trượt ván (Skateboarding)', 'b': 'Trượt tuyết (Snowboarding)', 'c': 'Lướt ván', 'd': 'Trượt patin'}",a,,,,,A,0
63,"Trong thể dục nhịp điệu, vận động viên biểu diễn với những dụng cụ nào?","{'a': 'Bóng, vòng, chùy, dải lụa, dây', 'b': 'Xà đơn, xà kép, vòng treo', 'c': 'Cầu thăng bằng, ngựa gỗ', 'd': 'Tất cả các đáp án trên'}",a,,,,,A,0
64,Môn thể thao nào liên quan đến việc chèo thuyền trên sông hoặc các vùng nước khác?,"{'a': 'Chèo thuyền (Rowing)', 'b': 'Canoeing', 'c': 'Kayaking', 'd': 'Tất cả các đáp án trên'}",d,,,,,A,0
65,Môn võ Muay Thái có nguồn gốc từ đâu?,"{'a': 'Việt Nam', 'b': 'Campuchia', 'c': 'Lào', 'd': 'Thái Lan'}",d,,,,,A,0
66,"Môn thể thao nào được gọi là ""trò chơi của các vị vua""?","{'a': 'Cờ vua', 'b': 'Polo', 'c': 'Đua ngựa', 'd': 'Golf'}",b,,,,,A,0
67,"Trong môn khúc côn cầu trên cỏ, mỗi đội có bao nhiêu cầu thủ trên sân?","{'a': '9', 'b': '10', 'c': '11', 'd': '12'}",c,,,,,A,0
68,Môn thể thao mùa đông nào liên quan đến việc trượt xuống một con dốc phủ đầy tuyết trên hai ván trượt?,"{'a': 'Trượt tuyết (Skiing)', 'b': 'Trượt tuyết ván (Snowboarding)', 'c': 'Trượt băng', 'd': 'Xe trượt lòng máng (Bobsleigh)'}",a,,,,,A,0
69,Đâu là một môn thể thao đồng đội được chơi với một quả bóng và gậy trên một sân hình kim cương?,"{'a': 'Bóng mềm (Softball)', 'b': 'Bóng chày (Baseball)', 'c': 'Cricket', 'd': 'Cả A và B'}",d,,,,,A,0
70,Giải đua xe mô tô danh giá nhất thế giới là gì?,"{'a': 'Superbike World Championship', 'b': 'MotoGP', 'c': 'Isle of Man TT', 'd': 'Dakar Rally'}",b,,,,,A,0
71,"Môn thể thao nào có các nội dung như nhảy xa, nhảy cao, nhảy sào?","{'a': 'Thể dục dụng cụ', 'b': 'Điền kinh', 'c': 'Năm môn phối hợp hiện đại', 'd': 'Ba môn phối hợp'}",b,,,,,A,0
72,Môn thể thao nào sử dụng bóng nặng có lỗ để cầm và ném vào các chai gỗ (pin)?,"{'a': 'Bowling', 'b': 'Bocce', 'c': 'Lawn bowls', 'd': 'Petanque'}",a,,,,,A,0
73,"Trong bóng ném, mỗi đội có bao nhiêu cầu thủ trên sân?","{'a': '5', 'b': '6', 'c': '7', 'd': '8'}",c,,,,,A,0
74,Môn thể thao nào liên quan đến việc lặn xuống nước với thiết bị thở?,"{'a': 'Lặn tự do', 'b': 'Lặn với bình khí (Scuba diving)', 'c': 'Lặn với ống thở (Snorkeling)', 'd': 'Bơi nghệ thuật'}",b,,,,,A,0
75,"Môn thể thao nào có các giải đấu lớn được gọi là ""The Majors""?","{'a': 'Quần vợt', 'b': 'Golf', 'c': 'Cả A và B', 'd': 'Chỉ quần vợt'}",c,,,,,A,0
76,"Trong môn bi-a, loại bi nào người chơi không được đánh vào lỗ cho đến cuối cùng?","{'a': 'Bi cái', 'b': 'Bi số 1', 'c': 'Bi số 8', 'd': 'Bi số 9'}",c,,,,,A,0
77,Môn thể thao nào có mục tiêu là đưa một quả cầu (puck) vào lưới của đối phương bằng gậy?,"{'a': 'Khúc côn cầu trên băng', 'b': 'Khúc côn cầu trên cỏ', 'c': 'Bandy', 'd': 'Tất cả các đáp án trên'}",d,,,,,A,0
78,"Môn thể thao nào được chơi trên ngựa, trong đó hai đội cố gắng ghi bàn bằng cách dùng vồ đánh một quả bóng vào khung thành đối phương?","{'a': 'Polocrosse', 'b': 'Horseball', 'c': 'Polo', 'd': 'Buzkashi'}",c,,,,,A,0
79,Đại hội Thể thao châu Á (Asian Games) được tổ chức mấy năm một lần?,"{'a': '2 năm', 'b': '3 năm', 'c': '4 năm', 'd': '5 năm'}",c,,,,,A,0
80,"Môn thể thao nào có các thuật ngữ như ""checkmate"" (chiếu hết)?","{'a': 'Cờ vây', 'b': 'Cờ tướng', 'c': 'Cờ vua', 'd': 'Shogi'}",c,,,,,A,0
81,Đội tuyển bóng rổ quốc gia nào đã giành nhiều huy chương vàng Olympic nhất (tính cả nam và nữ)?,"{'a': 'Tây Ban Nha', 'b': 'Liên Xô (cũ)', 'c': 'Mỹ', 'd': 'Argentina'}",c,,,,,A,0
82,"Môn thể thao nào có các nội dung thi đấu như slalom, giant slalom, và downhill?","{'a': 'Trượt tuyết băng đồng', 'b': 'Trượt tuyết đổ đèo (Alpine skiing)', 'c': 'Trượt tuyết tự do (Freestyle skiing)', 'd': 'Hai môn phối hợp mùa đông (Biathlon)'}",b,,,,,A,0
83,Môn thể thao nào kết hợp trượt tuyết băng đồng và bắn súng trường?,"{'a': 'Hai môn phối hợp mùa đông (Biathlon)', 'b': 'Năm môn phối hợp mùa đông', 'c': 'Trượt tuyết nhảy xa', 'd': 'Bắc Âu phối hợp'}",a,,,,,A,0
84,"Trong môn lặn tự do, kỷ lục thế giới về nín thở tĩnh là hơn bao nhiêu phút?","{'a': '5 phút', 'b': '7 phút', 'c': '9 phút', 'd': '11 phút'}",d,,,,,A,0
85,Môn thể thao nào sử dụng một quả bóng có lông vũ?,"{'a': 'Đá cầu', 'b': 'Cầu lông', 'c': 'Cả A và B', 'd': 'Không có môn nào'}",c,,,,,A,0
86,Giải đấu eSports (thể thao điện tử) nào có giải thưởng lớn nhất lịch sử?,"{'a': 'League of Legends World Championship', 'b': 'The International (Dota 2)', 'c': 'Fortnite World Cup', 'd': 'CS:GO Major Championships'}",b,,,,,A,0
87,"Môn thể thao nào được chơi trên một sân băng hình chữ nhật, trong đó người chơi trượt những viên đá về phía một mục tiêu?","{'a': 'Bi đá trên băng (Curling)', 'b': 'Shuffleboard', 'c': 'Bocce', 'd': 'Ice stock sport'}",a,,,,,A,0
88,Môn thể thao nào có nguồn gốc từ Hawaii?,"{'a': 'Lướt sóng', 'b': 'Bóng chuyền bãi biển', 'c': 'Chèo thuyền outrigger', 'd': 'Cả A và C'}",d,,,,,A,0
89,"Trong môn thể hình, cuộc thi danh giá nhất là gì?","{'a': 'Arnold Classic', 'b': 'Mr. Olympia', 'c': 'World Bodybuilding Championships', 'd': 'Universe Championships'}",b,,,,,B,0
90,Môn thể thao nào liên quan đến việc di chuyển trên tuyết bằng cách sử dụng ván trượt tuyết (snowboard)?,"{'a': 'Trượt tuyết đổ đèo', 'b': 'Trượt ván tuyết', 'c': 'Trượt băng tốc độ', 'd': 'Trượt tuyết băng đồng'}",b,,,,,A,0
